Naam;Code;Inwonertal;Omgevingsadressendichtheid per km2
Aa en Hunze;GM1680;25386;280
Aalsmeer;GM0358;31728;921
Aalten;GM0197;27011;782
Achtkarspelen;GM0059;27852;427
Alblasserdam;GM0482;20069;1512
Albrandswaard;GM0613;25271;1022
Alkmaar;GM0361;108558;2256
Almelo;GM0141;72849;1589
Almere;GM0034;207904;1601
Alphen aan den Rijn;GM0484;110986;1819
Alphen-Chaam;GM1723;10149;310
Altena;GM1959;55386;500
Ameland;GM0060;3673;253
Amersfoort;GM0307;156286;2293
Amstelveen;GM0362;90838;2492
Amsterdam;GM0363;862965;6057
Apeldoorn;GM0200;162445;1734
Appingedam;GM0003;11721;1067
Arnhem;GM0202;159265;2168
Assen;GM0106;67963;1531
Asten;GM0743;16710;953
Baarle-Nassau;GM0744;6847;336
Baarn;GM0308;24767;1590
Barendrecht;GM0489;48673;1666
Barneveld;GM0203;57971;865
Beek (L.);GM0888;15929;887
Beekdaelen;GM1954;35727;498
Beemster;GM0370;9748;621
Beesel;GM0889;13519;740
Berg en Dal;GM1945;34798;646
Bergeijk;GM1724;18491;501
Bergen (L.);GM0893;13140;315
Bergen (NH.);GM0373;29974;817
Bergen op Zoom;GM0748;66811;1815
Berkelland;GM1859;43904;657
Bernheze;GM1721;30806;660
Best;GM0753;29821;1395
Beuningen;GM0209;25882;997
Beverwijk;GM0375;41176;2724
De Bilt;GM0310;42824;1255
Bladel;GM1728;20175;683
Blaricum;GM0376;11202;1067
Bloemendaal;GM0377;23410;1075
Bodegraven-Reeuwijk;GM1901;34462;1124
Boekel;GM0755;10588;525
Borger-Odoorn;GM1681;25372;262
Borne;GM0147;23210;1225
Borsele;GM0654;22800;320
Boxmeer;GM0756;29065;658
Boxtel;GM0757;30747;1211
Breda;GM0758;183873;2170
Brielle;GM0501;17182;873
Bronckhorst;GM1876;36212;378
Brummen;GM0213;20698;763
Brunssum;GM0899;28103;1671
Bunnik;GM0312;15192;659
Bunschoten;GM0313;21576;1174
Buren;GM0214;26568;277
Capelle aan den IJssel;GM0502;66818;2273
