Naam;Totale bevolking;Mannen;Vrouwen;Jonger dan 5 jaar;5 tot 10 jaar;10 tot 15 jaar;15 tot 20 jaar;20 tot 25 jaar;25 tot 45 jaar;45 tot 65 jaar;65 tot 80 jaar;80 jaar of ouder;Totale oppervlakte km2;Land oppervlakte km2
Aa en Hunze;25386;12659;12727;922;1174;1366;1579;1031;4347;8354;5107;1506;278,87;276,09
Aalburg;;;;;;;;;;;;;;
Aalsmeer;31728;15694;16034;1506;1970;2246;2046;1633;7073;9424;4371;1459;32,29;20,12
Aalten;27011;13559;13452;1197;1415;1682;1685;1345;5415;8308;4501;1463;97,05;96,54
Ter Aar;;;;;;;;;;;;;;
Aarle-Rixtel;;;;;;;;;;;;;;
Abcoude;;;;;;;;;;;;;;
Achtkarspelen;27852;14167;13685;1423;1636;1877;1892;1468;6190;7908;4252;1206;103,98;102,23
Akersloot;;;;;;;;;;;;;;
Alblasserdam;20069;9853;10216;1273;1318;1293;1305;1170;4535;5215;2906;1054;10,06;8,78
Albrandswaard;25271;12518;12753;1283;1571;1714;1611;1177;5718;7861;3346;990;23,76;21,69
Alkemade;;;;;;;;;;;;;;
Alkmaar;108558;53695;54863;5479;5770;5691;6077;5761;27921;30944;16232;4683;117,35;110,46
Almelo;72849;36421;36428;3475;3861;4411;4737;4194;17347;20653;10800;3371;69,41;67,27
Almere;207904;103082;104822;12548;13114;13405;14131;12858;57771;60643;19196;4238;248,77;129,19
Alphen aan den Rijn;110986;55283;55703;5671;6280;6511;7055;6050;27163;31424;16220;4612;132,5;126,23
Alphen en Riel;;;;;;;;;;;;;;
Alphen-Chaam;10149;5194;4955;472;526;511;622;536;1990;3206;1763;523;93,52;93,04
Altena;55386;27876;27510;3040;3279;3514;3659;3115;12372;15658;8329;2420;226,64;200,63
Ambt Delden;;;;;;;;;;;;;;
Ambt Montfort;;;;;;;;;;;;;;
Ameland;3673;1819;1854;168;198;219;164;217;848;1031;664;164;268,5;59,11
Amerongen;;;;;;;;;;;;;;
Amersfoort;156286;77037;79249;8993;9786;10140;10235;8505;41680;43969;17432;5546;63,86;62,62
Ammerzoden;;;;;;;;;;;;;;
Amstelveen;90838;43650;47188;5132;5763;5017;4873;5782;23629;23241;12061;5340;44,08;41,13
Amsterdam;862965;427787;435178;46291;40973;38338;40853;67634;311068;209828;84765;23215;219,49;165,5
Andijk;;;;;;;;;;;;;;
Angerlo;;;;;;;;;;;;;;
Anloo;;;;;;;;;;;;;;
Anna Paulowna;;;;;;;;;;;;;;
Apeldoorn;162445;80880;81565;7879;8537;9141;10117;8633;37490;46952;25531;8165;341,15;339,89
Appingedam;11721;5720;6001;488;566;664;703;535;2376;3491;2157;741;24,58;23,78
Arcen en Velden;;;;;;;;;;;;;;
Arnemuiden;;;;;;;;;;;;;;
Arnhem;159265;79573;79692;8169;8606;8423;9180;11995;46693;42079;18428;5692;101,54;97,82
Assen;67963;33643;34320;3195;3724;4217;4515;3428;15645;19763;10175;3301;83,45;81,89
Asten;16710;8592;8118;757;801;962;1064;930;3562;4948;2857;829;71,34;70,17
Avereest;;;;;;;;;;;;;;
Axel;;;;;;;;;;;;;;
Baarle-Nassau;6847;3477;3370;292;313;323;343;282;1434;2033;1388;439;76,29;76,14
Baarn;24767;11985;12782;1189;1355;1389;1428;1040;5204;7387;4208;1567;33,01;32,54
Bakel en Milheeze;;;;;;;;;;;;;;
Barendrecht;48673;23999;24674;2496;3062;3381;3633;2585;10441;14727;6373;1975;21,73;19,75
Barneveld;57971;28917;29054;4214;4203;4011;4266;3710;13728;14352;7035;2452;176,66;175,9
Bathmen;;;;;;;;;;;;;;
Bedum;;;;;;;;;;;;;;
Beek (L.);15929;7774;8155;601;633;679;888;755;3281;5017;3032;1043;21,03;21,03
Beek en Donk;;;;;;;;;;;;;;
Beekdaelen;35727;17785;17942;1379;1553;1669;1910;1660;7048;11278;7005;2225;78,49;78,3
Beemster;9748;4849;4899;542;570;518;589;509;2132;2930;1502;456;72,07;70,58
Beesel;13519;6807;6712;564;637;725;815;707;2780;4175;2383;733;29,15;27,99
Beilen;;;;;;;;;;;;;;
Belfeld;;;;;;;;;;;;;;
Bellingwedde;;;;;;;;;;;;;;
Bemmel;;;;;;;;;;;;;;
Bennebroek;;;;;;;;;;;;;;
Berg en Dal;34798;17324;17474;1390;1527;1751;2129;1745;6785;11000;6321;2150;93,28;86,31
Bergambacht;;;;;;;;;;;;;;
Bergeijk;18491;9440;9051;804;853;1049;1157;1083;3845;5637;3114;949;101,75;101
Bergen (L.);13140;6575;6565;520;547;686;782;680;2515;4345;2374;691;108,5;103,24
Bergen (NH.);29974;14467;15507;858;1195;1558;1897;1324;4219;9349;7162;2412;120,23;98,96
Bergen op Zoom;66811;33152;33659;3174;3334;3478;3945;3508;15131;19999;10979;3263;93,13;79,96
Bergeyk;;;;;;;;;;;;;;
Bergh;;;;;;;;;;;;;;
Bergschenhoek;;;;;;;;;;;;;;
Berkel en Rodenrijs;;;;;;;;;;;;;;
Berkel-Enschot;;;;;;;;;;;;;;
Berkelland;43904;21991;21913;1701;2069;2616;2835;2147;8207;13523;8280;2526;260,21;258,06
Berlicum;;;;;;;;;;;;;;
Bernheze;30806;15529;15277;1441;1599;1860;2154;1748;6613;9058;4767;1566;90,41;89,73
Bernisse;;;;;;;;;;;;;;
Best;29821;14927;14894;1400;1529;1744;2098;1660;6484;9267;4241;1398;35,1;34,3
Beuningen;25882;12924;12958;1286;1241;1380;1680;1296;5574;8471;3909;1045;47,09;43,65
Beverwijk;41176;20582;20594;2179;2180;2220;2340;2286;10812;11703;5513;1943;20,09;18,4
het Bildt;;;;;;;;;;;;;;
De Bilt;42824;20558;22266;2100;2409;2706;2759;1844;8260;12552;7032;3162;67,13;66,12
Binnenmaas;;;;;;;;;;;;;;
Bladel;20175;10227;9948;929;1034;1127;1286;1075;4429;5970;3287;1038;75,62;75,33
Bladel en Netersel;;;;;;;;;;;;;;
Blaricum;11202;5455;5747;718;649;639;675;373;2271;3056;2288;533;15,56;11,11
Bleiswijk;;;;;;;;;;;;;;
Bloemendaal;23410;11321;12089;988;1530;1652;1654;860;3541;7016;4346;1823;45,23;39,79
Boarnsterhim;;;;;;;;;;;;;;
Bodegraven;;;;;;;;;;;;;;
Bodegraven-Reeuwijk;34462;17228;17234;1981;1993;2129;2295;1900;7667;9652;5278;1567;88,64;75,38
Boekel;10588;5402;5186;516;529;693;749;633;2388;3099;1534;447;34,52;34,51
Ten Boer;;;;;;;;;;;;;;
Bolsward;;;;;;;;;;;;;;
Borculo;;;;;;;;;;;;;;
Borger;;;;;;;;;;;;;;
Borger-Odoorn;25372;12703;12669;1015;1201;1332;1495;1192;4658;8297;4834;1348;277,89;274,53
Born;;;;;;;;;;;;;;
Borne;23210;11561;11649;1293;1370;1402;1420;1064;5237;6436;3822;1166;26,16;26
Borsele;22800;11557;11243;1196;1307;1389;1475;1197;4899;6749;3465;1123;194,52;141,57
Boskoop;;;;;;;;;;;;;;
Boxmeer;29065;14573;14492;1178;1259;1680;1824;1688;5751;9133;4956;1596;113,84;111,44
Boxtel;30747;15294;15453;1360;1506;1931;1970;1613;6881;8820;5168;1498;64,85;63,73
Brakel;;;;;;;;;;;;;;
Breda;183873;90536;93337;8985;9617;10074;11155;14253;47953;48269;24950;8617;128,68;125,74
Brederwiede;;;;;;;;;;;;;;
Breukelen;;;;;;;;;;;;;;
Brielle;17182;8437;8745;744;798;838;1038;856;3775;5295;2948;890;31,14;27,55
Broekhuizen;;;;;;;;;;;;;;
Bronckhorst;36212;18054;18158;1261;1608;2072;2460;1724;5971;11933;7015;2168;286,42;283,5
Brouwershaven;;;;;;;;;;;;;;
Bruinisse;;;;;;;;;;;;;;
Brummen;20698;10248;10450;808;918;1081;1262;1053;3893;6490;3899;1294;85,01;83,65
Brunssum;28103;13806;14297;1090;1233;1275;1468;1321;5961;8945;5045;1765;17,34;17,25
Budel;;;;;;;;;;;;;;
Bunnik;15192;7518;7674;835;952;955;963;640;3010;4473;2438;926;37,57;36,97
Bunschoten;21576;10764;10812;1347;1437;1403;1460;1352;5647;5409;2797;724;34,81;30,38
Buren;26568;13314;13254;1197;1475;1509;1735;1326;5467;8565;4289;1005;142,92;133,89
Bussum;;;;;;;;;;;;;;
Capelle aan den IJssel;66818;32271;34547;3580;3729;3564;3881;3613;16088;18971;10252;3140;15,4;14,14
Castricum;35772;17634;18138;1577;1701;1934;2324;1894;6831;10719;6480;2312;60,4;49,68
Chaam;;;;;;;;;;;;;;
Coevorden;35483;17703;17780;1520;1746;1980;2269;1650;6931;10946;6355;2086;299,69;296,07
Cothen;;;;;;;;;;;;;;
Cranendonck;20440;10281;10159;881;1031;1024;1150;1064;4216;6212;3800;1062;78,05;76,4
Cromstrijen;;;;;;;;;;;;;;
Cuijk;24931;12413;12518;1162;1255;1334;1556;1394;5423;7532;4102;1173;57,07;51,16
